item_name,variation,raw_category,category_group,units_sold,revenue,net_sales,gross_sales,avg_unit_price,est_cost_pct,est_margin
Prosecco DOC,Bottle,Champagne / Sparkling,Drink,1.0,26.67,26.67,32.0,26.67,0.22,20.8026
Cherry Margarita,Regular,Cocktails,Drink,4.0,38.33,38.33,46.0,9.5825,0.22,7.47435
Espresso Martini,Regular,Cocktails,Drink,5.0,45.83,45.83,55.0,9.166,0.22,7.1494800000000005
Mojito,Regular,Cocktails,Drink,1.0,9.96,9.96,11.95,9.96,0.22,7.768800000000001
Pornstar Martini,Regular,Cocktails,Drink,4.0,38.32,38.32,46.0,9.58,0.22,7.4724
Rosa Negroni,Regular,Cocktails,Drink,1.0,9.17,9.17,11.0,9.17,0.22,7.1526000000000005
Rum della Vanillia,Regular,Cocktails,Drink,9.0,86.24,86.24,103.5,9.58222222222222,0.22,7.474133333333333
Whiskey / Amaretto Sour,Amaretto,Cocktails,Drink,2.0,19.17,19.17,23.0,9.585,0.22,7.476300000000001
Whiskey / Amaretto Sour,Regular,Cocktails,Drink,2.0,19.17,19.17,23.0,9.585,0.22,7.476300000000001
Classic Omelette,Fries,Signature Breakfast,Food,3.0,28.62,28.62,34.35,9.540000000000001,0.3,6.678
Classic Omelette,Salad,Signature Breakfast,Food,57.0,606.78,606.78,728.15,10.645263157894737,0.3,7.451684210526316
Classic Omelette,Toast,Signature Breakfast,Food,29.0,315.91,305.12,366.1,10.89344827586207,0.3,7.625413793103449
Signature,Regular,Signature Breakfast,Food,40.0,520.84,520.84,625.0,13.021,0.3,9.1147
En Bonne Santé,Regular,Signature Breakfast,Food,25.0,296.44,296.44,355.75,11.8576,0.3,8.30032
Shakshuka,Regular,Signature Breakfast,Food,28.0,330.48,330.48,396.6,11.802857142857144,0.3,8.262
The Mediterranean,Regular,Signature Breakfast,Food,24.0,336.08,319.58,383.5,14.003333333333332,0.3,9.802333333333332
The Végétarienne,Regular,Signature Breakfast,Food,20.0,236.24,219.58,263.5,11.812000000000001,0.3,8.2684
Affogato,Regular,Desserts,Dessert,3.0,14.87,14.87,17.85,4.956666666666666,0.24,3.767066666666666
Apple Crumble,Regular,Desserts,Dessert,34.0,225.39,224.19,269.1,6.629117647058823,0.24,5.0381294117647055
Cheesecake,Regular,Desserts,Dessert,14.0,84.58,84.58,101.5,6.041428571428571,0.24,4.591485714285714
Chocolate Fudge Cake,Regular,Desserts,Dessert,19.0,127.01,120.25,144.29,6.684736842105264,0.24,5.080400000000001
Crème Brûlée,Regular,Desserts,Dessert,24.0,145.14,144.05,172.91,6.047499999999999,0.24,4.5961
